Pulse Number,Pulse Amplitude,Average Voltage (V),Average Current (A),Rmax (Ohms),Rmin (Ohms)
155,0.0155,0.5993077,0.015500395,38.66402759,34.13088816
156,0.0156,0.6042673,0.01560048,38.73389152,34.13142656
157,0.0157,0.609239,0.0157001375,38.804692,34.13443595
158,0.0158,0.614261625,0.0158002475,38.87670905,34.13157797
159,0.0159,0.619321875,0.01590044,38.94998346,34.1352841
160,0.016,0.6243901,0.0160004525,39.02327762,34.13537295
161,0.0161,0.62948495,0.016100165,39.09804341,34.13265655
162,0.0162,0.634617,0.0162002325,39.17332668,34.13574624
163,0.0163,0.6397824,0.01630035,39.2496112,34.13678344
164,0.0164,0.644971275,0.016400395,39.32656957,34.13376639
165,0.0165,0.650197625,0.01650042,39.40491363,34.13719808
166,0.0166,0.655430375,0.016600095,39.48353157,34.13668482
167,0.0167,0.660710925,0.01670014,39.56319678,34.13831564
168,0.0168,0.6660357,0.0168003325,39.64419752,34.1368026
169,0.0169,0.6713904,0.0169004075,39.72628471,34.13716912
170,0.017,0.6767551,0.01700015,39.80877228,34.13952433
171,0.0171,0.682182425,0.0171002275,39.89317832,34.14046747
172,0.0172,0.687634525,0.017200275,39.97811227,34.13943717
173,0.0173,0.693133625,0.0173003925,40.06461848,34.14053692
174,0.0174,0.69863725,0.0174000575,40.15143341,34.14196861
175,0.0175,0.704194225,0.0175000825,40.2394803,34.1419242
176,0.0176,0.7098,0.0176003025,40.3288523,34.14231827
177,0.0177,0.715438625,0.017700365,40.41942779,34.14251397
178,0.0178,0.72111715,0.0178004875,40.51108994,34.14239944
179,0.0179,0.72680295,0.017900085,40.60332395,34.14643555
180,0.018,0.732555775,0.0180002125,40.6970626,34.14519548
181,0.0181,0.73834895,0.0181003725,40.79192017,34.14640572
182,0.0182,0.7441822,0.0182003925,40.88825007,34.14726375
183,0.0183,0.7500369,0.0183000775,40.98544938,34.14790623
184,0.0184,0.75596895,0.01840022,41.08477779,34.14859096
185,0.0185,0.7619181,0.0185003725,41.18393292,34.14967837
